step,mean_alpha,val_loss
0,12.091207379837856,4.574706077575684
250,2.4249054992059387,2.430610775947571
500,2.190229489534301,1.1917417526245118
750,2.1404698564659355,0.7608148872852325
1000,2.132630722340887,0.5531001389026642
1250,2.095194013226761,0.4031801074743271
1500,2.0698384647932264,0.4036207050085068
1750,2.0387540014204473,0.3352563679218292
2000,2.0279153702930364,0.3228501319885254
2250,2.0155886430841394,0.3009502738714218
2500,2.0045483307825545,0.2925322920084
2750,1.9994026060245722,0.36148483455181124
3000,1.9918217780455651,0.34496005773544314
3250,1.9742231944577058,0.2413483276963234
3500,1.994305727783127,0.30163234770298003
3750,1.9847139544398036,0.3509512335062027
