step,train_loss,lr
0,4.574704647064209,0.001
1,4.574609279632568,0.001
2,4.574542999267578,0.001
3,4.574695587158203,0.001
4,4.574749946594238,0.001
5,4.574649810791016,0.001
6,4.574730396270752,0.001
7,4.574869155883789,0.001
8,4.575079917907715,0.001
9,4.575099468231201,0.001
10,4.575011253356934,0.001
11,4.574254512786865,0.001
12,4.575023651123047,0.001
13,4.574652671813965,0.001
14,4.574681758880615,0.001
15,4.574802398681641,0.001
16,4.575247764587402,0.001
17,4.574868679046631,0.001
18,4.573690891265869,0.001
19,4.574206829071045,0.001
20,4.574286937713623,0.001
21,4.575781345367432,0.001
22,4.57427978515625,0.001
23,4.574539661407471,0.001
24,4.5750908851623535,0.001
25,4.575207233428955,0.001
26,4.575109004974365,0.001
27,4.574828147888184,0.001
28,4.57535982131958,0.001
29,4.574764251708984,0.001
30,4.5749945640563965,0.001
31,4.574732780456543,0.001
32,4.57401180267334,0.001
33,4.573797702789307,0.001
34,4.576139450073242,0.001
35,4.575103282928467,0.001
36,4.576438903808594,0.001
37,4.575262069702148,0.001
38,4.575872898101807,0.001
39,4.573668003082275,0.001
40,4.574038028717041,0.001
41,4.574010848999023,0.001
42,4.574319362640381,0.001
43,4.575484752655029,0.001
44,4.574069976806641,0.001
45,4.573785781860352,0.001
46,4.575012683868408,0.001
47,4.574234485626221,0.001
48,4.574005603790283,0.001
49,4.573602676391602,0.001
50,4.5751776695251465,0.001
51,4.573614120483398,0.001
52,4.573058128356934,0.001
53,4.576042175292969,0.001
54,4.574451923370361,0.001
55,4.572719573974609,0.001
56,4.574509143829346,0.001
57,4.573517322540283,0.001
58,4.574044704437256,0.001
59,4.5723066329956055,0.001
60,4.573465347290039,0.001
61,4.5728607177734375,0.001
62,4.572300434112549,0.001
63,4.568924903869629,0.001
64,4.571767330169678,0.001
65,4.572934150695801,0.001
66,4.571167469024658,0.001
67,4.578671455383301,0.001
68,4.567208766937256,0.001
69,4.5678629875183105,0.001
70,4.572460174560547,0.001
71,4.563225746154785,0.001
72,4.577428817749023,0.001
73,4.575492858886719,0.001
74,4.572999477386475,0.001
75,4.573296546936035,0.001
76,4.566450119018555,0.001
77,4.573925495147705,0.001
78,4.572622776031494,0.001
79,4.570662498474121,0.001
80,4.565642833709717,0.001
81,4.56776237487793,0.001
82,4.570281028747559,0.001
83,4.566641330718994,0.001
84,4.579172611236572,0.001
85,4.577267169952393,0.001
86,4.571073055267334,0.001
87,4.573535919189453,0.001
88,4.5712890625,0.001
89,4.574716091156006,0.001
90,4.573849678039551,0.001
91,4.5716776847839355,0.001
92,4.573370456695557,0.001
93,4.573322296142578,0.001
94,4.5681657791137695,0.001
95,4.569165229797363,0.001
96,4.571629047393799,0.001
97,4.570835113525391,0.001
98,4.563393592834473,0.001
99,4.568536758422852,0.001
100,4.572093963623047,0.001
101,4.569460391998291,0.001
102,4.570160388946533,0.001
103,4.580803394317627,0.001
104,4.572380542755127,0.001
105,4.570577144622803,0.001
106,4.569207668304443,0.001
107,4.568112850189209,0.001
108,4.57073450088501,0.001
109,4.568031311035156,0.001
110,4.569218158721924,0.001
111,4.56736946105957,0.001
112,4.5660786628723145,0.001
113,4.568004608154297,0.001
114,4.564094543457031,0.001
115,4.556568622589111,0.001
116,4.567699432373047,0.001
117,4.559383869171143,0.001
118,4.5704426765441895,0.001
119,4.564399242401123,0.001
120,4.563241004943848,0.001
121,4.55866003036499,0.001
122,4.552130699157715,0.001
123,4.558547019958496,0.001
124,4.559747219085693,0.001
125,4.545635223388672,0.001
126,4.546080589294434,0.001
127,4.55262565612793,0.001
128,4.546607494354248,0.001
129,4.557354927062988,0.001
130,4.5562639236450195,0.001
131,4.556695938110352,0.001
132,4.553328037261963,0.001
133,4.54921817779541,0.001
134,4.542868614196777,0.001
135,4.538349628448486,0.001
136,4.5369648933410645,0.001
137,4.518075942993164,0.001
138,4.528377532958984,0.001
139,4.5585222244262695,0.001
140,4.5345139503479,0.001
141,4.510294437408447,0.001
142,4.531911849975586,0.001
143,4.519484043121338,0.001
144,4.519746780395508,0.001
145,4.526553153991699,0.001
146,4.49862813949585,0.001
147,4.492870807647705,0.001
148,4.49430513381958,0.001
149,4.493609428405762,0.001
150,4.453136444091797,0.001
151,4.438356876373291,0.001
152,4.442310810089111,0.001
153,4.453220844268799,0.001
154,4.401130676269531,0.001
155,4.345195770263672,0.001
156,4.3773369789123535,0.001
157,4.352478981018066,0.001
158,4.363255023956299,0.001
159,4.29331636428833,0.001
160,4.292481422424316,0.001
161,4.237249374389648,0.001
162,4.193999290466309,0.001
163,4.1261467933654785,0.001
164,4.120443820953369,0.001
165,4.064140319824219,0.001
166,4.046146869659424,0.001
167,4.032557010650635,0.001
168,3.937387466430664,0.001
169,3.9416871070861816,0.001
170,3.8462750911712646,0.001
171,3.8477721214294434,0.001
172,3.8047432899475098,0.001
173,3.747426748275757,0.001
174,3.725979804992676,0.001
175,3.662595272064209,0.001
176,3.596757650375366,0.001
177,3.5778565406799316,0.001
178,3.5954461097717285,0.001
179,3.551861047744751,0.001
180,3.517914056777954,0.001
181,3.443535566329956,0.001
182,3.4440133571624756,0.001
183,3.382169008255005,0.001
184,3.3620448112487793,0.001
185,3.305633306503296,0.001
186,3.3180460929870605,0.001
187,3.2456822395324707,0.001
188,3.2582995891571045,0.001
189,3.2214412689208984,0.001
190,3.201993227005005,0.001
191,3.1856465339660645,0.001
192,3.164386749267578,0.001
193,3.1196365356445312,0.001
194,3.129964828491211,0.001
195,3.0696165561676025,0.001
196,2.981637716293335,0.001
197,2.9730381965637207,0.001
198,2.97991681098938,0.001
199,3.0059359073638916,0.001
200,3.036362648010254,0.001
201,2.9297971725463867,0.001
202,2.9131250381469727,0.001
203,2.880802631378174,0.001
204,2.89021372795105,0.001
205,2.8876144886016846,0.001
206,2.853412389755249,0.001
207,2.842168092727661,0.001
208,2.8148787021636963,0.001
209,2.7960777282714844,0.001
210,2.776885509490967,0.001
211,2.7724766731262207,0.001
212,2.7444801330566406,0.001
213,2.7438652515411377,0.001
214,2.7295944690704346,0.001
215,2.739738941192627,0.001
216,2.720109224319458,0.001
217,2.7289888858795166,0.001
218,2.707329273223877,0.001
219,2.6698787212371826,0.001
220,2.6675355434417725,0.001
221,2.6857736110687256,0.001
222,2.6363346576690674,0.001
223,2.6598403453826904,0.001
224,2.6317083835601807,0.001
225,2.5906217098236084,0.001
226,2.601428508758545,0.001
227,2.6202785968780518,0.001
228,2.612884998321533,0.001
229,2.6370837688446045,0.001
230,2.5983755588531494,0.001
231,2.5999577045440674,0.001
232,2.5778932571411133,0.001
233,2.48451566696167,0.001
234,2.5412566661834717,0.001
235,2.502173662185669,0.001
236,2.465251922607422,0.001
237,2.5267550945281982,0.001
238,2.533576488494873,0.001
239,2.506525993347168,0.001
240,2.4829931259155273,0.001
241,2.4765372276306152,0.001
242,2.4244377613067627,0.001
243,2.4332127571105957,0.001
244,2.4131906032562256,0.001
245,2.4659838676452637,0.001
246,2.47564435005188,0.001
247,2.442742347717285,0.001
248,2.42818284034729,0.001
249,2.408069133758545,0.001
250,2.4381418228149414,0.001
251,2.412191867828369,0.001
252,2.4485621452331543,0.001
253,2.418718099594116,0.001
254,2.345439910888672,0.001
255,2.37587308883667,0.001
256,2.3691155910491943,0.001
257,2.373522996902466,0.001
258,2.4036545753479004,0.001
259,2.3507955074310303,0.001
260,2.3068151473999023,0.001
261,2.4323549270629883,0.001
262,2.348008632659912,0.001
263,2.3528568744659424,0.001
264,2.2737576961517334,0.001
265,2.2869229316711426,0.001
266,2.317655324935913,0.001
267,2.3880839347839355,0.001
268,2.299248695373535,0.001
269,2.3060975074768066,0.001
270,2.2714016437530518,0.001
271,2.234675407409668,0.001
272,2.2959136962890625,0.001
273,2.348784923553467,0.001
274,2.2661595344543457,0.001
275,2.252678871154785,0.001
276,2.212083578109741,0.001
277,2.2412095069885254,0.001
278,2.299614906311035,0.001
279,2.215366840362549,0.001
280,2.317852020263672,0.001
281,2.264183521270752,0.001
282,2.2602479457855225,0.001
283,2.19995379447937,0.001
284,2.2167375087738037,0.001
285,2.214479923248291,0.001
286,2.2072081565856934,0.001
287,2.2509725093841553,0.001
288,2.2049779891967773,0.001
289,2.2374610900878906,0.001
290,2.178097724914551,0.001
291,2.181575298309326,0.001
292,2.190971612930298,0.001
293,2.138521671295166,0.001
294,2.1444754600524902,0.001
295,2.2663469314575195,0.001
296,2.198293685913086,0.001
297,2.1570141315460205,0.001
298,2.137028217315674,0.001
299,2.1264703273773193,0.001
300,2.1146559715270996,0.001
301,2.155438184738159,0.001
302,2.1186773777008057,0.001
303,2.1763832569122314,0.001
304,2.169477939605713,0.001
305,2.1152424812316895,0.001
306,2.0858206748962402,0.001
307,2.102954864501953,0.001
308,2.0838727951049805,0.001
309,2.0784237384796143,0.001
310,2.121556282043457,0.001
311,2.0858161449432373,0.001
312,2.1216137409210205,0.001
313,2.089092969894409,0.001
314,2.103736400604248,0.001
315,2.0864040851593018,0.001
316,2.1000330448150635,0.001
317,2.0812947750091553,0.001
318,2.075148820877075,0.001
319,2.089867353439331,0.001
320,2.0321311950683594,0.001
321,2.1126625537872314,0.001
322,2.092583179473877,0.001
323,2.0374133586883545,0.001
324,2.04911470413208,0.001
325,2.0363986492156982,0.001
326,2.0844969749450684,0.001
327,2.084664821624756,0.001
328,2.0676987171173096,0.001
329,2.0151052474975586,0.001
330,2.072957992553711,0.001
331,2.050260543823242,0.001
332,1.9906278848648071,0.001
333,2.0264668464660645,0.001
334,2.0411322116851807,0.001
335,2.026477813720703,0.001
336,1.9991728067398071,0.001
337,2.033930540084839,0.001
338,2.0420000553131104,0.001
339,1.9877859354019165,0.001
340,1.976825475692749,0.001
341,1.9846177101135254,0.001
342,2.004758358001709,0.001
343,1.9852927923202515,0.001
344,1.9612573385238647,0.001
345,2.006213665008545,0.001
346,1.9989968538284302,0.001
347,1.952987551689148,0.001
348,1.9311751127243042,0.001
