step,train_loss,lr
0,4.574706077575684,0.001
1,4.574760437011719,0.001
2,4.574730396270752,0.001
3,4.574527263641357,0.001
4,4.57480525970459,0.001
5,4.574718952178955,0.001
6,4.5745649337768555,0.001
7,4.574668884277344,0.001
8,4.574699878692627,0.001
9,4.574180603027344,0.001
10,4.574552536010742,0.001
11,4.57419490814209,0.001
12,4.574622631072998,0.001
13,4.5737481117248535,0.001
14,4.575184345245361,0.001
15,4.575244426727295,0.001
16,4.575354099273682,0.001
17,4.574800968170166,0.001
18,4.574476718902588,0.001
19,4.575291633605957,0.001
20,4.574146270751953,0.001
21,4.5750837326049805,0.001
22,4.574493885040283,0.001
23,4.574286937713623,0.001
24,4.574382781982422,0.001
25,4.574038982391357,0.001
26,4.575376033782959,0.001
27,4.576494216918945,0.001
28,4.575137615203857,0.001
29,4.575401782989502,0.001
30,4.574965476989746,0.001
31,4.574594020843506,0.001
32,4.574578762054443,0.001
33,4.574344635009766,0.001
34,4.574487209320068,0.001
35,4.574093341827393,0.001
36,4.574714183807373,0.001
37,4.575804710388184,0.001
38,4.574845314025879,0.001
39,4.5735931396484375,0.001
40,4.5745673179626465,0.001
41,4.573635101318359,0.001
42,4.574305534362793,0.001
43,4.573155879974365,0.001
44,4.574282169342041,0.001
45,4.57428503036499,0.001
46,4.57493257522583,0.001
47,4.574318885803223,0.001
48,4.574188709259033,0.001
49,4.57302188873291,0.001
50,4.5752177238464355,0.001
51,4.57390022277832,0.001
52,4.573620319366455,0.001
53,4.572309970855713,0.001
54,4.573094367980957,0.001
55,4.576094627380371,0.001
56,4.5758843421936035,0.001
57,4.574369430541992,0.001
58,4.574310779571533,0.001
59,4.576168537139893,0.001
60,4.575698375701904,0.001
61,4.572269916534424,0.001
62,4.571416854858398,0.001
63,4.573864936828613,0.001
64,4.575810432434082,0.001
65,4.573351860046387,0.001
66,4.572224140167236,0.001
67,4.571220874786377,0.001
68,4.57293176651001,0.001
69,4.576162815093994,0.001
70,4.570970058441162,0.001
71,4.574084758758545,0.001
72,4.575098037719727,0.001
73,4.572099685668945,0.001
74,4.569316864013672,0.001
75,4.5703277587890625,0.001
76,4.5701727867126465,0.001
77,4.572725772857666,0.001
78,4.5677618980407715,0.001
79,4.562408924102783,0.001
80,4.56791877746582,0.001
81,4.563329696655273,0.001
82,4.573436260223389,0.001
83,4.556941032409668,0.001
84,4.571018218994141,0.001
85,4.567331314086914,0.001
86,4.565128803253174,0.001
87,4.559457778930664,0.001
88,4.565366268157959,0.001
89,4.5718255043029785,0.001
90,4.570476055145264,0.001
91,4.572134494781494,0.001
92,4.567610740661621,0.001
93,4.5725274085998535,0.001
94,4.575039863586426,0.001
95,4.565492153167725,0.001
96,4.567566871643066,0.001
97,4.568517208099365,0.001
98,4.5621490478515625,0.001
99,4.558759689331055,0.001
100,4.566498279571533,0.001
101,4.551335334777832,0.001
102,4.566638469696045,0.001
103,4.552173614501953,0.001
104,4.560219764709473,0.001
105,4.541830062866211,0.001
106,4.541269302368164,0.001
107,4.548832416534424,0.001
108,4.538570880889893,0.001
109,4.550845146179199,0.001
110,4.556178092956543,0.001
111,4.537186622619629,0.001
112,4.517187595367432,0.001
113,4.505575656890869,0.001
114,4.514649391174316,0.001
115,4.501119613647461,0.001
116,4.493536949157715,0.001
117,4.4543633460998535,0.001
118,4.449263572692871,0.001
119,4.415470600128174,0.001
120,4.400366306304932,0.001
121,4.380159854888916,0.001
122,4.348782539367676,0.001
123,4.308409690856934,0.001
124,4.334650993347168,0.001
125,4.306425094604492,0.001
126,4.221559524536133,0.001
127,4.172388553619385,0.001
128,4.207383632659912,0.001
129,4.153141498565674,0.001
130,4.136828422546387,0.001
131,4.111241817474365,0.001
132,4.0543389320373535,0.001
133,4.045339584350586,0.001
134,3.993556499481201,0.001
135,3.942678213119507,0.001
136,3.9171252250671387,0.001
137,3.8935394287109375,0.001
138,3.8260486125946045,0.001
139,3.8092360496520996,0.001
140,3.755225658416748,0.001
141,3.7101638317108154,0.001
142,3.687166213989258,0.001
143,3.7037501335144043,0.001
144,3.5952630043029785,0.001
145,3.5768954753875732,0.001
146,3.5568385124206543,0.001
147,3.528028726577759,0.001
148,3.515634298324585,0.001
149,3.4740524291992188,0.001
150,3.4383716583251953,0.001
151,3.396389961242676,0.001
152,3.377145767211914,0.001
153,3.3067448139190674,0.001
154,3.282815456390381,0.001
155,3.306230306625366,0.001
