step,train_loss,lr
0,4.5747151374816895,0.001
1,4.574728012084961,0.001
2,4.574699401855469,0.001
3,4.574854850769043,0.001
4,4.57473611831665,0.001
5,4.5750346183776855,0.001
6,4.574776649475098,0.001
7,4.5743608474731445,0.001
8,4.574808120727539,0.001
9,4.574773788452148,0.001
10,4.574085712432861,0.001
11,4.574435234069824,0.001
12,4.574739456176758,0.001
13,4.574600696563721,0.001
14,4.574958324432373,0.001
15,4.574725151062012,0.001
16,4.575061321258545,0.001
17,4.574738025665283,0.001
18,4.574365615844727,0.001
19,4.575059413909912,0.001
20,4.5739569664001465,0.001
21,4.574981689453125,0.001
22,4.575224876403809,0.001
23,4.573822975158691,0.001
24,4.574235916137695,0.001
25,4.573750019073486,0.001
26,4.575194835662842,0.001
27,4.574869632720947,0.001
28,4.57483434677124,0.001
29,4.574061870574951,0.001
30,4.573152542114258,0.001
31,4.576092720031738,0.001
32,4.574061393737793,0.001
33,4.5745015144348145,0.001
34,4.576234817504883,0.001
35,4.57591438293457,0.001
36,4.574031829833984,0.001
37,4.575577259063721,0.001
38,4.574525356292725,0.001
39,4.575291156768799,0.001
40,4.574037551879883,0.001
41,4.575288772583008,0.001
42,4.574709415435791,0.001
43,4.57496452331543,0.001
44,4.576118469238281,0.001
45,4.574376106262207,0.001
46,4.573817253112793,0.001
47,4.574063301086426,0.001
48,4.575595855712891,0.001
49,4.574587821960449,0.001
50,4.5750298500061035,0.001
51,4.5737223625183105,0.001
52,4.574841499328613,0.001
53,4.573915004730225,0.001
54,4.574170112609863,0.001
55,4.575007915496826,0.001
56,4.573974609375,0.001
57,4.574983596801758,0.001
58,4.574386119842529,0.001
59,4.574477672576904,0.001
60,4.57758903503418,0.001
61,4.573906421661377,0.001
62,4.574664115905762,0.001
63,4.574385643005371,0.001
64,4.574010848999023,0.001
65,4.573794364929199,0.001
66,4.57393217086792,0.001
67,4.573504447937012,0.001
68,4.574382305145264,0.001
69,4.573104381561279,0.001
70,4.575005531311035,0.001
71,4.574245929718018,0.001
72,4.576581954956055,0.001
