step,train_loss,lr
0,5.627243995666504,0.0003
1,5.27712345123291,0.0003
2,5.065914154052734,0.0003
3,4.938927173614502,0.0003
4,4.84763765335083,0.0003
5,4.780797958374023,0.0003
6,4.7219014167785645,0.0003
7,4.6689066886901855,0.0003
8,4.610652446746826,0.0003
9,4.5566325187683105,0.0003
10,4.501591682434082,0.0003
11,4.443599224090576,0.0003
12,4.375198841094971,0.0003
13,4.319305896759033,0.0003
14,4.23942232131958,0.0003
15,4.197524070739746,0.0003
16,4.138797283172607,0.0003
17,4.079930782318115,0.0003
18,4.02036190032959,0.0003
19,3.9746532440185547,0.0003
20,3.915472984313965,0.0003
21,3.865837574005127,0.0003
22,3.8158764839172363,0.0003
23,3.765303134918213,0.0003
24,3.714801788330078,0.0003
25,3.673374652862549,0.0003
26,3.6192684173583984,0.0003
27,3.5761032104492188,0.0003
28,3.5355610847473145,0.0003
29,3.4966495037078857,0.0003
30,3.4530701637268066,0.0003
31,3.4150402545928955,0.0003
32,3.3882896900177,0.0003
33,3.346693515777588,0.0003
34,3.3086977005004883,0.0003
35,3.2731432914733887,0.0003
36,3.241537570953369,0.0003
37,3.2193872928619385,0.0003
38,3.173119068145752,0.0003
39,3.133451223373413,0.0003
40,3.1116907596588135,0.0003
41,3.085115909576416,0.0003
42,3.0523250102996826,0.0003
43,3.0241146087646484,0.0003
44,2.9908173084259033,0.0003
45,2.9927480220794678,0.0003
46,2.9568402767181396,0.0003
47,2.9308111667633057,0.0003
48,2.9164748191833496,0.0003
49,2.8891336917877197,0.0003
50,2.850924015045166,0.0003
51,2.8286244869232178,0.0003
52,2.821469783782959,0.0003
53,2.8011231422424316,0.0003
54,2.7864463329315186,0.0003
55,2.749178171157837,0.0003
56,2.728440761566162,0.0003
57,2.7209277153015137,0.0003
58,2.7098135948181152,0.0003
59,2.693885326385498,0.0003
60,2.6607418060302734,0.0003
61,2.6459004878997803,0.0003
62,2.634723424911499,0.0003
63,2.6091606616973877,0.0003
64,2.5966367721557617,0.0003
65,2.581742763519287,0.0003
66,2.565577745437622,0.0003
67,2.548203706741333,0.0003
68,2.53017520904541,0.0003
69,2.5185697078704834,0.0003
70,2.502582311630249,0.0003
71,2.4875400066375732,0.0003
72,2.4858365058898926,0.0003
73,2.4714138507843018,0.0003
74,2.4423649311065674,0.0003
75,2.438032627105713,0.0003
76,2.4022438526153564,0.0003
77,2.410788059234619,0.0003
78,2.403219699859619,0.0003
79,2.369232416152954,0.0003
80,2.363795042037964,0.0003
81,2.3617308139801025,0.0003
82,2.3398842811584473,0.0003
83,2.344517469406128,0.0003
84,2.3335890769958496,0.0003
85,2.3117477893829346,0.0003
86,2.2967369556427,0.0003
87,2.296567440032959,0.0003
88,2.2534613609313965,0.0003
89,2.2687840461730957,0.0003
90,2.2688944339752197,0.0003
91,2.245276689529419,0.0003
92,2.2339274883270264,0.0003
93,2.217524766921997,0.0003
94,2.2133021354675293,0.0003
95,2.211291790008545,0.0003
96,2.192643165588379,0.0003
97,2.179802656173706,0.0003
98,2.168694019317627,0.0003
99,2.140333890914917,0.0003
100,2.134716272354126,0.0003
101,2.139758348464966,0.0003
102,2.126342535018921,0.0003
103,2.1032156944274902,0.0003
104,2.1054229736328125,0.0003
105,2.062669515609741,0.0003
106,2.071542501449585,0.0003
107,2.0518946647644043,0.0003
108,2.0790514945983887,0.0003
109,2.050457715988159,0.0003
110,2.0293445587158203,0.0003
111,2.0415821075439453,0.0003
112,2.0230507850646973,0.0003
113,2.0293047428131104,0.0003
114,1.980723261833191,0.0003
115,1.9862648248672485,0.0003
116,1.9792330265045166,0.0003
117,1.9523980617523193,0.0003
118,1.9698704481124878,0.0003
119,1.9553967714309692,0.0003
120,1.9440155029296875,0.0003
121,1.9331905841827393,0.0003
122,1.9185971021652222,0.0003
123,1.902529001235962,0.0003
124,1.8866313695907593,0.0003
125,1.9002736806869507,0.0003
126,1.8985381126403809,0.0003
127,1.8696856498718262,0.0003
128,1.8505998849868774,0.0003
129,1.8463927507400513,0.0003
130,1.8283329010009766,0.0003
131,1.8199533224105835,0.0003
132,1.80039381980896,0.0003
133,1.8019700050354004,0.0003
134,1.7984273433685303,0.0003
135,1.7821402549743652,0.0003
136,1.7949786186218262,0.0003
137,1.7778778076171875,0.0003
138,1.7394334077835083,0.0003
139,1.737324833869934,0.0003
140,1.745085597038269,0.0003
141,1.722327709197998,0.0003
142,1.703325629234314,0.0003
143,1.6938598155975342,0.0003
144,1.681023359298706,0.0003
145,1.6771312952041626,0.0003
146,1.6595065593719482,0.0003
147,1.6561505794525146,0.0003
148,1.6627438068389893,0.0003
149,1.6115797758102417,0.0003
150,1.6325658559799194,0.0003
151,1.6133770942687988,0.0003
152,1.6058003902435303,0.0003
153,1.5890902280807495,0.0003
154,1.5805648565292358,0.0003
155,1.5661988258361816,0.0003
156,1.5633153915405273,0.0003
157,1.5271012783050537,0.0003
158,1.5383976697921753,0.0003
159,1.5198850631713867,0.0003
160,1.50522780418396,0.0003
161,1.4891934394836426,0.0003
162,1.4696717262268066,0.0003
163,1.4691956043243408,0.0003
164,1.4562722444534302,0.0003
165,1.451329231262207,0.0003
166,1.4203039407730103,0.0003
167,1.4530102014541626,0.0003
168,1.4189350605010986,0.0003
169,1.386462688446045,0.0003
170,1.4161311388015747,0.0003
171,1.406161904335022,0.0003
172,1.4116274118423462,0.0003
173,1.3778223991394043,0.0003
174,1.3968945741653442,0.0003
175,1.3586324453353882,0.0003
176,1.3445262908935547,0.0003
177,1.3334213495254517,0.0003
178,1.3237468004226685,0.0003
179,1.311153531074524,0.0003
180,1.3137511014938354,0.0003
181,1.3118486404418945,0.0003
182,1.29432213306427,0.0003
183,1.269012689590454,0.0003
184,1.2675728797912598,0.0003
185,1.2798124551773071,0.0003
186,1.2596261501312256,0.0003
187,1.2388163805007935,0.0003
188,1.2302532196044922,0.0003
189,1.2410151958465576,0.0003
190,1.2375714778900146,0.0003
191,1.2118631601333618,0.0003
192,1.200435996055603,0.0003
193,1.1909692287445068,0.0003
194,1.1855230331420898,0.0003
195,1.1785166263580322,0.0003
196,1.195963740348816,0.0003
197,1.1773262023925781,0.0003
198,1.1785355806350708,0.0003
199,1.1427156925201416,0.0003
200,1.1496468782424927,0.0003
201,1.1330840587615967,0.0003
202,1.1455841064453125,0.0003
203,1.1086845397949219,0.0003
204,1.110038161277771,0.0003
205,1.1248606443405151,0.0003
206,1.1018970012664795,0.0003
207,1.080587387084961,0.0003
