step,train_loss,lr
0,5.534223556518555,0.0003
1,5.149078369140625,0.0003
2,4.961589336395264,0.0003
3,4.855076313018799,0.0003
4,4.788996696472168,0.0003
5,4.726334571838379,0.0003
6,4.682214260101318,0.0003
7,4.6263427734375,0.0003
8,4.568863391876221,0.0003
9,4.519342422485352,0.0003
10,4.465116500854492,0.0003
11,4.404451847076416,0.0003
12,4.345370769500732,0.0003
13,4.289980411529541,0.0003
14,4.228846549987793,0.0003
15,4.163970470428467,0.0003
16,4.101499557495117,0.0003
17,4.054459571838379,0.0003
18,3.9973995685577393,0.0003
19,3.9443423748016357,0.0003
20,3.8958632946014404,0.0003
21,3.848011016845703,0.0003
22,3.7917919158935547,0.0003
23,3.745394706726074,0.0003
24,3.6962578296661377,0.0003
25,3.6471750736236572,0.0003
26,3.6032180786132812,0.0003
27,3.555093765258789,0.0003
28,3.5217182636260986,0.0003
29,3.473816394805908,0.0003
30,3.426176071166992,0.0003
31,3.3981516361236572,0.0003
32,3.353745937347412,0.0003
33,3.3243982791900635,0.0003
34,3.2894229888916016,0.0003
35,3.260150671005249,0.0003
36,3.2225613594055176,0.0003
37,3.2060697078704834,0.0003
38,3.1545021533966064,0.0003
39,3.1334002017974854,0.0003
40,3.1046295166015625,0.0003
41,3.0674705505371094,0.0003
42,3.0414304733276367,0.0003
43,3.0221469402313232,0.0003
44,2.9969136714935303,0.0003
45,2.9784321784973145,0.0003
46,2.9400408267974854,0.0003
47,2.9146292209625244,0.0003
48,2.8830502033233643,0.0003
49,2.873159646987915,0.0003
50,2.8355391025543213,0.0003
51,2.8287243843078613,0.0003
52,2.798351526260376,0.0003
53,2.7834668159484863,0.0003
54,2.756735324859619,0.0003
55,2.736297845840454,0.0003
56,2.734287738800049,0.0003
57,2.6970205307006836,0.0003
58,2.6910133361816406,0.0003
59,2.6828837394714355,0.0003
60,2.654569149017334,0.0003
61,2.6380438804626465,0.0003
62,2.61965274810791,0.0003
63,2.5991299152374268,0.0003
64,2.5811643600463867,0.0003
65,2.552370071411133,0.0003
66,2.5574758052825928,0.0003
67,2.5540285110473633,0.0003
68,2.5334877967834473,0.0003
69,2.5121045112609863,0.0003
70,2.5062448978424072,0.0003
71,2.483288288116455,0.0003
72,2.457184314727783,0.0003
73,2.447479486465454,0.0003
74,2.440063953399658,0.0003
75,2.433657646179199,0.0003
76,2.4300129413604736,0.0003
77,2.4079432487487793,0.0003
78,2.3947341442108154,0.0003
79,2.37787127494812,0.0003
80,2.365485906600952,0.0003
81,2.357950210571289,0.0003
82,2.3444149494171143,0.0003
83,2.334595203399658,0.0003
84,2.3136045932769775,0.0003
85,2.309368371963501,0.0003
86,2.2990288734436035,0.0003
87,2.2836594581604004,0.0003
88,2.2543694972991943,0.0003
89,2.258751392364502,0.0003
90,2.2427611351013184,0.0003
91,2.239384651184082,0.0003
92,2.22267484664917,0.0003
93,2.212880849838257,0.0003
94,2.2176122665405273,0.0003
95,2.1912436485290527,0.0003
96,2.1664633750915527,0.0003
97,2.1931071281433105,0.0003
98,2.166050672531128,0.0003
99,2.1296308040618896,0.0003
100,2.140697956085205,0.0003
101,2.1336171627044678,0.0003
102,2.119884490966797,0.0003
103,2.084162712097168,0.0003
104,2.0671045780181885,0.0003
105,2.0766146183013916,0.0003
106,2.0742461681365967,0.0003
107,2.0673084259033203,0.0003
108,2.0449862480163574,0.0003
109,2.0326991081237793,0.0003
110,2.0196807384490967,0.0003
111,2.003520965576172,0.0003
112,2.013200283050537,0.0003
113,1.9860469102859497,0.0003
114,1.9772614240646362,0.0003
115,1.9702247381210327,0.0003
116,1.9430116415023804,0.0003
117,1.9292467832565308,0.0003
118,1.9116796255111694,0.0003
119,1.9122248888015747,0.0003
120,1.8877569437026978,0.0003
121,1.8794097900390625,0.0003
122,1.8821783065795898,0.0003
123,1.8602051734924316,0.0003
124,1.829941987991333,0.0003
125,1.8603111505508423,0.0003
126,1.854500651359558,0.0003
127,1.818616509437561,0.0003
128,1.81524658203125,0.0003
129,1.7729573249816895,0.0003
130,1.7485077381134033,0.0003
131,1.750331997871399,0.0003
132,1.7626838684082031,0.0003
133,1.7513642311096191,0.0003
134,1.7023566961288452,0.0003
135,1.7119451761245728,0.0003
136,1.7092463970184326,0.0003
137,1.6761327981948853,0.0003
138,1.6410900354385376,0.0003
139,1.652876853942871,0.0003
140,1.6394351720809937,0.0003
141,1.6165366172790527,0.0003
142,1.606034755706787,0.0003
143,1.6333214044570923,0.0003
144,1.5997258424758911,0.0003
145,1.5819302797317505,0.0003
146,1.5561832189559937,0.0003
147,1.5505621433258057,0.0003
148,1.5525566339492798,0.0003
149,1.553515076637268,0.0003
150,1.5282899141311646,0.0003
151,1.4878350496292114,0.0003
152,1.4808605909347534,0.0003
153,1.474528193473816,0.0003
154,1.4598404169082642,0.0003
155,1.4637534618377686,0.0003
156,1.4515049457550049,0.0003
157,1.4459699392318726,0.0003
158,1.40902841091156,0.0003
159,1.453151822090149,0.0003
160,1.4293951988220215,0.0003
161,1.4169254302978516,0.0003
162,1.389285683631897,0.0003
163,1.3680393695831299,0.0003
164,1.3791117668151855,0.0003
165,1.3549022674560547,0.0003
166,1.3820677995681763,0.0003
167,1.3525174856185913,0.0003
168,1.3219865560531616,0.0003
169,1.3163992166519165,0.0003
170,1.3043041229248047,0.0003
171,1.2905813455581665,0.0003
172,1.2796382904052734,0.0003
173,1.2913923263549805,0.0003
174,1.27324378490448,0.0003
175,1.2589445114135742,0.0003
176,1.2552502155303955,0.0003
177,1.2299562692642212,0.0003
178,1.232986569404602,0.0003
179,1.2315398454666138,0.0003
180,1.2262351512908936,0.0003
181,1.2216469049453735,0.0003
182,1.1988770961761475,0.0003
183,1.1855171918869019,0.0003
184,1.2177503108978271,0.0003
185,1.1761970520019531,0.0003
186,1.1666793823242188,0.0003
187,1.1666141748428345,0.0003
188,1.1503485441207886,0.0003
189,1.1482969522476196,0.0003
190,1.1283149719238281,0.0003
191,1.1490386724472046,0.0003
192,1.123382329940796,0.0003
193,1.133068323135376,0.0003
194,1.0827410221099854,0.0003
195,1.086310863494873,0.0003
196,1.0938270092010498,0.0003
197,1.0677554607391357,0.0003
198,1.0800580978393555,0.0003
199,1.047039270401001,0.0003
200,1.067497730255127,0.0003
201,1.0427584648132324,0.0003
202,1.043596863746643,0.0003
203,1.033902645111084,0.0003
204,1.001799464225769,0.0003
205,0.9938032031059265,0.0003
206,1.0154629945755005,0.0003
207,0.9520187377929688,0.0003
208,0.9656930565834045,0.0003
209,0.9992768168449402,0.0003
210,0.9665464758872986,0.0003
211,0.950528621673584,0.0003
212,0.952406644821167,0.0003
213,0.9311088919639587,0.0003
214,0.9464935064315796,0.0003
215,0.9427141547203064,0.0003
216,0.9311251044273376,0.0003
217,0.9192257523536682,0.0003
218,0.8848384618759155,0.0003
219,0.9098564982414246,0.0003
220,0.9138782024383545,0.0003
221,0.9021053910255432,0.0003
222,0.9254714846611023,0.0003
223,0.8658801913261414,0.0003
224,0.8909451961517334,0.0003
225,0.8491174578666687,0.0003
226,0.8544245958328247,0.0003
227,0.8595932722091675,0.0003
228,0.8328166007995605,0.0003
229,0.8269781470298767,0.0003
230,0.8150278925895691,0.0003
231,0.8084144592285156,0.0003
232,0.8116105198860168,0.0003
233,0.8298964500427246,0.0003
234,0.8127573728561401,0.0003
235,0.8045134544372559,0.0003
236,0.7921342253684998,0.0003
237,0.8029525279998779,0.0003
238,0.7841075658798218,0.0003
239,0.76465904712677,0.0003
240,0.7584377527236938,0.0003
241,0.7675785422325134,0.0003
242,0.759894609451294,0.0003
243,0.7634804844856262,0.0003
244,0.7310832142829895,0.0003
245,0.7434937357902527,0.0003
246,0.7262234687805176,0.0003
247,0.7304666638374329,0.0003
248,0.7219959497451782,0.0003
249,0.7012838125228882,0.0003
250,0.7337639331817627,0.0003
251,0.7025396227836609,0.0003
252,0.7140802145004272,0.0003
253,0.688287615776062,0.0003
254,0.6930955648422241,0.0003
255,0.6724861860275269,0.0003
256,0.6835553050041199,0.0003
257,0.6835613250732422,0.0003
258,0.6769084334373474,0.0003
259,0.6439356803894043,0.0003
260,0.6538966298103333,0.0003
261,0.6629593968391418,0.0003
262,0.6535952687263489,0.0003
263,0.6382874846458435,0.0003
264,0.6626818776130676,0.0003
265,0.6302922964096069,0.0003
266,0.6398317217826843,0.0003
267,0.6288471221923828,0.0003
268,0.6241519451141357,0.0003
269,0.6329262852668762,0.0003
270,0.62064528465271,0.0003
271,0.6224268674850464,0.0003
272,0.6249244809150696,0.0003
273,0.5914406776428223,0.0003
274,0.6077756285667419,0.0003
275,0.6141086220741272,0.0003
276,0.5932182669639587,0.0003
277,0.5742313861846924,0.0003
278,0.594289243221283,0.0003
279,0.5821516513824463,0.0003
280,0.5599929094314575,0.0003
281,0.5601375102996826,0.0003
282,0.5553159713745117,0.0003
283,0.5542595982551575,0.0003
284,0.5704953074455261,0.0003
285,0.5366642475128174,0.0003
286,0.555685818195343,0.0003
287,0.5578899383544922,0.0003
288,0.5448095798492432,0.0003
289,0.5234862565994263,0.0003
290,0.5244547724723816,0.0003
291,0.5527479648590088,0.0003
292,0.52960205078125,0.0003
293,0.5238367915153503,0.0003
294,0.5226341485977173,0.0003
295,0.5122952461242676,0.0003
296,0.49921104311943054,0.0003
297,0.4983006417751312,0.0003
298,0.4997352361679077,0.0003
299,0.5307095646858215,0.0003
300,0.48115476965904236,0.0003
301,0.5107591152191162,0.0003
302,0.49515610933303833,0.0003
303,0.48639076948165894,0.0003
304,0.4736476540565491,0.0003
305,0.4716462790966034,0.0003
306,0.4666222333908081,0.0003
307,0.4718111455440521,0.0003
308,0.47737792134284973,0.0003
309,0.47712305188179016,0.0003
310,0.46387478709220886,0.0003
311,0.44299501180648804,0.0003
312,0.4682287871837616,0.0003
313,0.4710563123226166,0.0003
314,0.443680077791214,0.0003
315,0.435047447681427,0.0003
316,0.4317071735858917,0.0003
317,0.4677540957927704,0.0003
318,0.4229116141796112,0.0003
319,0.4485062062740326,0.0003
320,0.43163591623306274,0.0003
321,0.44697967171669006,0.0003
322,0.4251941442489624,0.0003
323,0.4193096160888672,0.0003
324,0.43116921186447144,0.0003
325,0.4338896572589874,0.0003
326,0.41411474347114563,0.0003
327,0.418592244386673,0.0003
328,0.4188806116580963,0.0003
329,0.4190503656864166,0.0003
330,0.4127888083457947,0.0003
331,0.3973917067050934,0.0003
332,0.4091678857803345,0.0003
333,0.39016684889793396,0.0003
334,0.3935793936252594,0.0003
335,0.39991843700408936,0.0003
336,0.37930533289909363,0.0003
337,0.3890678584575653,0.0003
338,0.39454713463783264,0.0003
339,0.38312092423439026,0.0003
